node,thULA,thURA,thULB,thURB,dthULA,dthURA,dthULB,dthURB,tLeftA,tRightA,tLeftB,tRightB
536,1.396068604,2.349912922,0.572643865,1.887921424,-2.26003422,-2.086723372,-0.176713193,5.822996773,3.418635213,-7.227655808,-1.390772482,0.060146441
537,1.376617637,2.333267402,0.569912584,1.934150059,-2.347185875,-2.008647136,-0.329588899,5.578498826,3.419235299,-7.170046059,-1.418434171,-0.187037947
538,1.356409423,2.317164092,0.56596003,1.977280577,-2.438564228,-1.943217577,-0.476962365,5.204643063,3.438182407,-7.133357984,-1.429483373,-0.445509173
539,1.335439417,2.301473825,0.560836922,2.016216335,-2.530491265,-1.893374913,-0.618215328,4.6984533,3.475880883,-7.117261167,-1.424705273,-0.715485843
540,1.313730535,2.286044174,0.554618313,2.049820501,-2.619652783,-1.86192576,-0.750411597,4.05507973,3.532873742,-7.1215795,-1.404090044,-0.997261418
541,1.291330301,2.270700303,0.547434145,2.076904166,-2.7030796,-1.851574657,-0.866927442,3.268238286,3.609839708,-7.146336008,-1.366745196,-1.291071964
542,1.268308298,2.255245476,0.539512024,2.096218325,-2.778109575,-1.864963808,-0.955977721,2.330676886,3.707606195,-7.191770646,-1.31079802,-1.597007528
543,1.244754102,2.23946114,0.531233068,2.106448125,-2.842330493,-1.904726425,-0.99903765,1.234449771,3.827175827,-7.258396733,-1.233330275,-1.915006261
544,1.220775831,2.223106417,0.523201766,2.106204391,-2.893504282,-1.973556034,-0.969152663,-0.029411808,3.96976617,-7.347059976,-1.130341147,-2.24499665
545,1.196499463,2.205916914,0.516331356,2.094001002,-2.929476208,-2.074290518,-0.829065621,-1.472606632,4.136861597,-7.459014603,-0.996751834,-2.587294272
546,1.172261386,2.187373042,0.514086259,2.066359819,-2.924855564,-2.237724805,-0.270920262,-3.335514858,4.330696939,-7.598433743,-0.335400776,-3.323902118
547,1.148560817,2.166738352,0.522598925,2.017564652,-2.859993416,-2.490027881,1.027239811,-5.888207035,4.555606744,-7.770753725,0.773992058,-4.406923231
548,1.124984106,2.144950428,0.549091544,1.940846673,-2.845047373,-2.629191079,3.196915696,-9.257707117,4.804663194,-3.67910095,1.997556403,-5.625785643
549,1.100602743,2.125888365,0.604441727,1.82213219,-2.942146524,-2.300256164,6.679214132,-14.3255074,0.153715294,1.32089804,3.628071045,-7.161317069
550,1.100602743,2.125888365,0.604441727,1.82213219,6.679214132,-14.3255074,-2.942146524,-2.300256164,0.247928185,-1.579976334,1.68E-06,3.64E-06
551,1.077259668,2.10406828,0.588932427,1.814424204,-2.816853736,-2.633071635,-1.871537046,-0.930137453,5.247909902,-6.579973507,2.288847461,3.751577589
552,1.054882126,2.082311181,0.579646003,1.818260244,-2.700340707,-2.625470669,-1.120610493,0.462902263,5.265726788,-7.848460273,1.988532055,3.747811381
553,1.033208941,2.060748642,0.575993987,1.833393718,-2.615344787,-2.601992853,-0.440695753,1.826185309,5.126611636,-7.636563921,1.773994536,3.665026756
554,1.011948457,2.039537762,0.577452906,1.859441672,-2.565543507,-2.55955765,0.176050492,3.143256643,4.951091671,-7.394365477,1.542038819,3.57773388
555,0.990836899,2.018797032,0.583798071,1.895699425,-2.547572354,-2.502823815,0.765683349,4.375292883,4.800095665,-7.184175481,1.346264861,3.450538332
556,0.969638708,1.998606416,0.595038088,1.941230015,-2.558026498,-2.436440586,1.356354494,5.494264103,4.672038909,-7.00401255,1.183100213,3.287425674
557,0.948147505,1.979007559,0.611344021,1.994944948,-2.593384918,-2.365031959,1.967668367,6.481884525,4.565971731,-6.852288837,1.048073824,3.092889486
558,0.926186984,1.96000432,0.63297647,2.05566357,-2.650018481,-2.293157466,2.610429337,7.327033415,4.481407466,-6.727718826,0.935914528,2.871290933
559,0.903611481,1.941563593,0.660213948,2.122146803,-2.724229597,-2.225278201,3.286799181,8.022660049,4.418189938,-6.629256914,0.840799684,2.626360136
560,0.880306231,1.923616264,0.693286231,2.193108109,-2.812289486,-2.165738818,3.990896246,8.563037954,4.376402444,-6.556067185,0.756680302,2.360938234
561,0.856187454,1.906058223,0.732316565,2.267208934,-2.910459491,-2.118762793,4.709865781,8.941889768,4.356310149,-6.507517402,0.677614366,2.076966047
562,0.831202379,1.888751349,0.777276795,2.343047479,-3.014997294,-2.088453857,5.425437952,9.151583747,4.358314391,-6.483192516,0.598069477,1.775665953
563,0.805329313,1.871524468,0.827959233,2.419149498,-3.122152895,-2.078801049,6.115947711,9.183377812,4.38295114,-6.482929286,0.513178057,1.457841052
564,0.77857776,1.854174209,0.883968129,2.493968351,-3.228161588,-2.09368933,6.758701724,9.028535638,4.430867211,-6.506862563,0.418937779,1.124212503
565,0.750988633,1.836465632,0.944731823,2.565899004,-3.329233315,-2.136928217,7.332472428,8.680010926,4.502837618,-6.555527206,0.312351334,0.775719173
566,0.722634602,1.81813236,1.009534128,2.633307283,-3.421535745,-2.212311338,7.819819433,8.13428733,4.599786739,-6.629959586,0.191501306,0.413710335
567,0.693620709,1.7988758,1.077561077,2.694571627,-3.50116246,-2.323726376,8.208943445,7.392886791,4.72282682,-6.731873243,0.0555608,0.039977462
568,0.664085445,1.778362865,1.147957598,2.748130738,-3.564077347,-2.475335446,8.49488411,6.463081338,4.873311774,-6.863888599,-0.095251689,-0.343399871
569,0.634202548,1.756221389,1.219888614,2.792527881,-3.606026929,-2.671854717,8.680054666,5.357489054,5.052905974,-7.029862837,-0.259753488,-0.734380157
570,0.60459303,1.731805464,1.295775026,2.822657436,-3.573037693,-2.94631675,9.157359681,3.635791424,5.346398315,-7.289667481,0.224364311,-1.938162339
571,0.575905116,1.704466975,1.379007682,2.833106091,-3.461825715,-3.298988041,10.04384463,1.260859378,5.672729732,-7.600593244,0.727012665,-3.181201447
572,0.54095839,1.648935034,1.552158457,2.764005353,-2.811393255,-4.467432008,13.92962869,-5.559014268,9.098130307,-11.68166938,1.742546604,-6.522272237
573,0.519546612,1.608049655,1.714485812,2.676344108,-2.583800191,-4.933717009,19.58835288,-10.57825031,6.638853533,-6.681678562,3.182223044,-6.995934813
574,0.510592616,1.530051966,1.681705514,2.619340676,-0.720330821,-6.27475572,-2.637108413,-4.585810426,6.942388878,-1.681680213,7.819561566,-11.99592613
575,0.519366845,1.483762868,1.626230602,2.595602746,0.705868899,-3.723863997,-4.462844106,-1.909668263,1.942389974,3.318319555,8.830602153,-14.33573596
576,0.525436826,1.487279664,1.58523622,2.56639705,0.488317635,0.282919043,-3.29791474,-2.349538971,0.007978655,3.998633045,7.583788562,-14.44181838
577,0.538154618,1.512609768,1.554985046,2.532135195,1.023120619,2.037755538,-2.433645624,-2.75629668,0.201370575,2.092997008,6.783416288,-13.56097038
578,0.546519037,1.53719365,1.536273092,2.509345924,1.009350476,2.966584459,-2.25800758,-2.750025331,-0.343501632,1.538054883,4.106793086,-8.561103817
579,0.554236037,1.568649635,1.518505294,2.486967,0.931225371,3.795854452,-2.144074487,-2.700508034,-0.572614548,1.417322342,3.941375852,-8.273285635
580,0.560928947,1.605946273,1.501324927,2.465150074,0.807646304,4.500657285,-2.073188036,-2.632690552,-0.770933323,1.274510546,3.803749143,-8.048397115
581,0.566361751,1.647945075,1.484419412,2.444008376,0.655587069,5.068076687,-2.040021137,-2.551209608,-0.939190999,1.111160674,3.690109257,-7.850689572
582,0.570411542,1.693469497,1.467519441,2.423618202,0.488696088,5.493520032,-2.039352197,-2.460521746,-1.078716755,0.929522791,3.597874994,-7.678754208
583,0.573038577,1.741350818,1.450398555,2.404020737,0.317009389,5.777931605,-2.066010509,-2.364863983,-1.191358921,0.731893616,3.525387418,-7.531415568
584,0.574256819,1.790450936,1.432872394,2.385224105,0.147007542,5.925006206,-2.114915673,-2.268225902,-1.279347517,0.520247372,3.47164662,-7.407671632
585,0.574108275,1.839666651,1.414797352,2.367205455,-0.017925085,5.938955617,-2.181150326,-2.17434543,-1.345060228,0.296036298,3.436124527,-7.306662313
586,0.572643865,1.887921424,1.396068604,2.349912922,-0.176713193,5.822996773,-2.26003422,-2.086723372,-1.390772482,0.060146441,3.418635213,-7.227655808
587,0.569912584,1.934150059,1.376617637,2.333267402,-0.329588899,5.578498826,-2.347185875,-2.008647136,-1.418434171,-0.187037947,3.419235299,-7.170046059
588,0.56596003,1.977280577,1.356409423,2.317164092,-0.476962365,5.204643063,-2.438564228,-1.943217577,-1.429483373,-0.445509173,3.438182407,-7.133357984
589,0.560836922,2.016216335,1.335439417,2.301473825,-0.618215328,4.6984533,-2.530491265,-1.893374913,-1.424705273,-0.715485843,3.475880883,-7.117261167
590,0.554618313,2.049820501,1.313730535,2.286044174,-0.750411597,4.05507973,-2.619652783,-1.86192576,-1.404090044,-0.997261418,3.532873742,-7.1215795
591,0.547434145,2.076904166,1.291330301,2.270700303,-0.866927442,3.268238286,-2.7030796,-1.851574657,-1.366745196,-1.291071964,3.609839708,-7.146336008
592,0.539512024,2.096218325,1.268308298,2.255245476,-0.955977721,2.330676886,-2.778109575,-1.864963808,-1.31079802,-1.597007528,3.707606195,-7.191770646
593,0.531233068,2.106448125,1.244754102,2.23946114,-0.99903765,1.234449771,-2.842330493,-1.904726425,-1.233330275,-1.915006261,3.827175827,-7.258396733
594,0.523201766,2.106204391,1.220775831,2.223106417,-0.969152663,-0.029411808,-2.893504282,-1.973556034,-1.130341147,-2.24499665,3.96976617,-7.347059976
595,0.516331356,2.094001002,1.196499463,2.205916914,-0.829065621,-1.472606632,-2.929476208,-2.074290518,-0.996751834,-2.587294272,4.136861597,-7.459014603
596,0.514086259,2.066359819,1.172261386,2.187373042,-0.270920262,-3.335514858,-2.924855564,-2.237724805,-0.335400776,-3.323902118,4.330696939,-7.598433743
597,0.522598925,2.017564652,1.148560817,2.166738352,1.027239811,-5.888207035,-2.859993416,-2.490027881,0.773992058,-4.406923231,4.555606744,-7.770753725
598,0.549091544,1.940846673,1.124984106,2.144950428,3.196915696,-9.257707117,-2.845047373,-2.629191079,1.997556403,-5.625785643,4.804663194,-3.67910095
599,0.604441727,1.82213219,1.100602743,2.125888365,6.679214132,-14.3255074,-2.942146524,-2.300256164,3.628071045,-7.161317069,0.153715294,1.32089804
600,0.604441727,1.82213219,1.100602743,2.125888365,-2.942146524,-2.300256164,6.679214132,-14.3255074,1.68E-06,3.64E-06,0.247928185,-1.579976334
601,0.588932427,1.814424204,1.077259668,2.10406828,-1.871537046,-0.930137453,-2.816853736,-2.633071635,2.288847461,3.751577589,5.247909902,-6.579973507
602,0.579646003,1.818260244,1.054882126,2.082311181,-1.120610493,0.462902263,-2.700340707,-2.625470669,1.988532055,3.747811381,5.265726788,-7.848460273
603,0.575993987,1.833393718,1.033208941,2.060748642,-0.440695753,1.826185309,-2.615344787,-2.601992853,1.773994536,3.665026756,5.126611636,-7.636563921
604,0.577452906,1.859441672,1.011948457,2.039537762,0.176050492,3.143256643,-2.565543507,-2.55955765,1.542038819,3.57773388,4.951091671,-7.394365477
605,0.583798071,1.895699425,0.990836899,2.018797032,0.765683349,4.375292883,-2.547572354,-2.502823815,1.346264861,3.450538332,4.800095665,-7.184175481
606,0.595038088,1.941230015,0.969638708,1.998606416,1.356354494,5.494264103,-2.558026498,-2.436440586,1.183100213,3.287425674,4.672038909,-7.00401255
607,0.611344021,1.994944948,0.948147505,1.979007559,1.967668367,6.481884525,-2.593384918,-2.365031959,1.048073824,3.092889486,4.565971731,-6.852288837
608,0.63297647,2.05566357,0.926186984,1.96000432,2.610429337,7.327033415,-2.650018481,-2.293157466,0.935914528,2.871290933,4.481407466,-6.727718826
609,0.660213948,2.122146803,0.903611481,1.941563593,3.286799181,8.022660049,-2.724229597,-2.225278201,0.840799684,2.626360136,4.418189938,-6.629256914
610,0.693286231,2.193108109,0.880306231,1.923616264,3.990896246,8.563037954,-2.812289486,-2.165738818,0.756680302,2.360938234,4.376402444,-6.556067185
611,0.732316565,2.267208934,0.856187454,1.906058223,4.709865781,8.941889768,-2.910459491,-2.118762793,0.677614366,2.076966047,4.356310149,-6.507517402
612,0.777276795,2.343047479,0.831202379,1.888751349,5.425437952,9.151583747,-3.014997294,-2.088453857,0.598069477,1.775665953,4.358314391,-6.483192516
613,0.827959233,2.419149498,0.805329313,1.871524468,6.115947711,9.183377812,-3.122152895,-2.078801049,0.513178057,1.457841052,4.38295114,-6.482929286
614,0.883968129,2.493968351,0.77857776,1.854174209,6.758701724,9.028535638,-3.228161588,-2.09368933,0.418937779,1.124212503,4.430867211,-6.506862563
615,0.944731823,2.565899004,0.750988633,1.836465632,7.332472428,8.680010926,-3.329233315,-2.136928217,0.312351334,0.775719173,4.502837618,-6.555527206
616,1.009534128,2.633307283,0.722634602,1.81813236,7.819819433,8.13428733,-3.421535745,-2.212311338,0.191501306,0.413710335,4.599786739,-6.629959586
617,1.077561077,2.694571627,0.693620709,1.7988758,8.208943445,7.392886791,-3.50116246,-2.323726376,0.0555608,0.039977462,4.72282682,-6.731873243
618,1.147957598,2.748130738,0.664085445,1.778362865,8.49488411,6.463081338,-3.564077347,-2.475335446,-0.095251689,-0.343399871,4.873311774,-6.863888599
619,1.219888614,2.792527881,0.634202548,1.756221389,8.680054666,5.357489054,-3.606026929,-2.671854717,-0.259753488,-0.734380157,5.052905974,-7.029862837
620,1.295775026,2.822657436,0.60459303,1.731805464,9.157359681,3.635791424,-3.573037693,-2.94631675,0.224364311,-1.938162339,5.346398315,-7.289667481
621,1.379007682,2.833106091,0.575905116,1.704466975,10.04384463,1.260859378,-3.461825715,-3.298988041,0.727012665,-3.181201447,5.672729732,-7.600593244
622,1.552158457,2.764005353,0.54095839,1.648935034,13.92962869,-5.559014268,-2.811393255,-4.467432008,1.742546604,-6.522272237,9.098130307,-11.68166938
623,1.714485812,2.676344108,0.519546612,1.608049655,19.58835288,-10.57825031,-2.583800191,-4.933717009,3.182223044,-6.995934813,6.638853533,-6.681678562
624,1.681705514,2.619340676,0.510592616,1.530051966,-2.637108413,-4.585810426,-0.720330821,-6.27475572,7.819561566,-11.99592613,6.942388878,-1.681680213
625,1.626230602,2.595602746,0.519366845,1.483762868,-4.462844106,-1.909668263,0.705868899,-3.723863997,8.830602153,-14.33573596,1.942389974,3.318319555
626,1.58523622,2.56639705,0.525436826,1.487279664,-3.29791474,-2.349538971,0.488317635,0.282919043,7.583788562,-14.44181838,0.007978655,3.998633045
627,1.554985046,2.532135195,0.538154618,1.512609768,-2.433645624,-2.75629668,1.023120619,2.037755538,6.783416288,-13.56097038,0.201370575,2.092997008
628,1.536273092,2.509345924,0.546519037,1.53719365,-2.25800758,-2.750025331,1.009350476,2.966584459,4.106793086,-8.561103817,-0.343501632,1.538054883
629,1.518505294,2.486967,0.554236037,1.568649635,-2.144074487,-2.700508034,0.931225371,3.795854452,3.941375852,-8.273285635,-0.572614548,1.417322342
630,1.501324927,2.465150074,0.560928947,1.605946273,-2.073188036,-2.632690552,0.807646304,4.500657285,3.803749143,-8.048397115,-0.770933323,1.274510546
631,1.484419412,2.444008376,0.566361751,1.647945075,-2.040021137,-2.551209608,0.655587069,5.068076687,3.690109257,-7.850689572,-0.939190999,1.111160674
632,1.467519441,2.423618202,0.570411542,1.693469497,-2.039352197,-2.460521746,0.488696088,5.493520032,3.597874994,-7.678754208,-1.078716755,0.929522791
633,1.450398555,2.404020737,0.573038577,1.741350818,-2.066010509,-2.364863983,0.317009389,5.777931605,3.525387418,-7.531415568,-1.191358921,0.731893616
634,1.432872394,2.385224105,0.574256819,1.790450936,-2.114915673,-2.268225902,0.147007542,5.925006206,3.47164662,-7.407671632,-1.279347517,0.520247372
635,1.414797352,2.367205455,0.574108275,1.839666651,-2.181150326,-2.17434543,-0.017925085,5.938955617,3.436124527,-7.306662313,-1.345060228,0.296036298
636,1.396068604,2.349912922,0.572643865,1.887921424,-2.26003422,-2.086723372,-0.176713193,5.822996773,3.418635213,-7.227655808,-1.390772482,0.060146441
637,1.376617637,2.333267402,0.569912584,1.934150059,-2.347185875,-2.008647136,-0.329588899,5.578498826,3.419235299,-7.170046059,-1.418434171,-0.187037947
638,1.356409423,2.317164092,0.56596003,1.977280577,-2.438564228,-1.943217577,-0.476962365,5.204643063,3.438182407,-7.133357984,-1.429483373,-0.445509173
639,1.335439417,2.301473825,0.560836922,2.016216335,-2.530491265,-1.893374913,-0.618215328,4.6984533,3.475880883,-7.117261167,-1.424705273,-0.715485843
640,1.313730535,2.286044174,0.554618313,2.049820501,-2.619652783,-1.86192576,-0.750411597,4.05507973,3.532873742,-7.1215795,-1.404090044,-0.997261418
641,1.291330301,2.270700303,0.547434145,2.076904166,-2.7030796,-1.851574657,-0.866927442,3.268238286,3.609839708,-7.146336008,-1.366745196,-1.291071964
642,1.268308298,2.255245476,0.539512024,2.096218325,-2.778109575,-1.864963808,-0.955977721,2.330676886,3.707606195,-7.191770646,-1.31079802,-1.597007528
643,1.244754102,2.23946114,0.531233068,2.106448125,-2.842330493,-1.904726425,-0.99903765,1.234449771,3.827175827,-7.258396733,-1.233330275,-1.915006261
644,1.220775831,2.223106417,0.523201766,2.106204391,-2.893504282,-1.973556034,-0.969152663,-0.029411808,3.96976617,-7.347059976,-1.130341147,-2.24499665
645,1.196499463,2.205916914,0.516331356,2.094001002,-2.929476208,-2.074290518,-0.829065621,-1.472606632,4.136861597,-7.459014603,-0.996751834,-2.587294272
646,1.172261386,2.187373042,0.514086259,2.066359819,-2.924855564,-2.237724805,-0.270920262,-3.335514858,4.330696939,-7.598433743,-0.335400776,-3.323902118
647,1.148560817,2.166738352,0.522598925,2.017564652,-2.859993416,-2.490027881,1.027239811,-5.888207035,4.555606744,-7.770753725,0.773992058,-4.406923231
648,1.124984106,2.144950428,0.549091544,1.940846673,-2.845047373,-2.629191079,3.196915696,-9.257707117,4.804663194,-3.67910095,1.997556403,-5.625785643
649,1.100602743,2.125888365,0.604441727,1.82213219,-2.942146524,-2.300256164,6.679214132,-14.3255074,0.153715294,1.32089804,3.628071045,-7.161317069
650,1.100602743,2.125888365,0.604441727,1.82213219,6.679214132,-14.3255074,-2.942146524,-2.300256164,0.247928185,-1.579976334,1.68E-06,3.64E-06
651,1.077259668,2.10406828,0.588932427,1.814424204,-2.816853736,-2.633071635,-1.871537046,-0.930137453,5.247909902,-6.579973507,2.288847461,3.751577589
652,1.054882126,2.082311181,0.579646003,1.818260244,-2.700340707,-2.625470669,-1.120610493,0.462902263,5.265726788,-7.848460273,1.988532055,3.747811381
653,1.033208941,2.060748642,0.575993987,1.833393718,-2.615344787,-2.601992853,-0.440695753,1.826185309,5.126611636,-7.636563921,1.773994536,3.665026756
